iter	Passed	Remaining
0	2	2756
1	5	2665
2	8	2665
3	10	2658
4	13	2636
5	15	2637
6	18	2620
7	21	2609
8	24	2645
9	26	2643
10	29	2645
11	32	2690
12	35	2684
13	37	2664
14	40	2679
15	43	2654
16	45	2639
17	48	2644
18	51	2645
19	53	2634
20	56	2611
21	58	2593
22	60	2578
23	62	2561
24	66	2605
25	69	2613
26	72	2614
27	75	2631
28	78	2622
29	81	2622
30	84	2633
31	87	2658
32	90	2665
33	93	2668
34	96	2657
35	98	2643
36	100	2628
37	116	2958
38	119	2948
39	122	2935
40	124	2917
41	127	2912
42	130	2909
43	133	2896
44	135	2881
45	138	2873
46	140	2857
47	143	2846
48	147	2861
49	151	2869
50	153	2860
51	156	2846
52	158	2837
53	161	2827
54	165	2846
55	168	2839
56	170	2824
57	173	2810
58	175	2798
59	179	2805
60	182	2802
61	184	2793
62	187	2784
63	193	2831
64	197	2842
65	200	2833
66	202	2821
67	205	2812
68	207	2802
69	210	2791
70	213	2790
71	215	2783
72	218	2772
73	221	2767
74	223	2759
75	226	2750
76	230	2760
77	233	2755
78	235	2747
79	237	2736
80	241	2740
81	244	2736
82	247	2734
83	249	2726
84	252	2718
85	255	2710
86	257	2703
87	260	2699
88	263	2695
89	265	2688
90	268	2679
91	270	2671
92	273	2664
93	275	2656
94	278	2654
95	281	2646
96	283	2642
97	286	2636
98	288	2628
99	291	2624
100	295	2628
101	297	2620
102	299	2612
103	302	2609
104	305	2602
105	307	2595
106	311	2602
107	314	2597
108	316	2590
109	319	2583
110	321	2576
111	324	2569
112	327	2567
113	329	2561
114	331	2554
115	335	2559
116	338	2554
117	340	2548
118	343	2546
119	346	2541
120	349	2535
121	351	2528
122	354	2524
123	356	2518
124	359	2513
125	361	2509
126	365	2509
127	367	2503
128	370	2499
129	372	2493
130	375	2490
131	377	2484
132	380	2479
133	382	2473
134	385	2469
135	387	2463
136	390	2458
137	393	2455
138	395	2452
139	398	2445
140	400	2440
141	402	2434
142	405	2428
143	407	2424
144	410	2420
145	412	2415
146	415	2409
147	417	2405
148	420	2400
149	422	2395
150	425	2389
151	427	2385
152	430	2380
153	432	2375
154	434	2368
155	436	2363
156	439	2359
157	442	2356
158	444	2351
159	446	2345
160	449	2340
161	451	2336
162	453	2330
163	456	2328
164	459	2324
165	461	2318
166	463	2313
167	466	2308
168	468	2303
169	470	2298
170	473	2295
171	475	2291
172	478	2286
173	480	2282
174	483	2277
175	485	2271
176	487	2265
177	490	2265
